"Código","Escala_Cog.","Escala_Mot.","Escala_Dis.","Edad_Mes","Región","Área","Modalidad","Departamento","Quintil","Inst_Mat.","Inst_Pat.","Inst_Pre_N3"
380,154,26,28,63,"Sierra","Urbana","Jardín","Piura","1","Secundaria completo","Secundaria completo","No"
270,70,20,23,63,"Costa","Rural","Jardín","Piura","3","Secundaria completo","Secundaria incompleto","No"
1225,68,29,21,61,"Sierra","Rural","Jardín","Cusco","2","Secundaria incompleto","Secundaria completo","NS/NR"
3473,140,36,25,65,"Costa","Urbana","Jardín","Lima Met.","4","Secundaria completo","Secundaria completo","No"
1468,76,22,24,62,"Selva","Urbana","Jardín","Loreto","4","Primaria completo","Superior técnico incompleto","No"
621,82,20,21,63,"Costa","Urbana","Jardín","Piura","3","Secundaria completo","Secundaria completo","NS/NR"
3445,84,28,15,66,"Costa","Urbana","Jardín","Lima Met.","4","Secundaria completo","Secundaria completo","NS/NR"
219,73,23,25,63,"Costa","Urbana","Jardín","Piura","5","Secundaria completo","Secundaria completo","No"
627,57,14,22,63,"Costa","Urbana","Jardín","Piura","3","Secundaria completo","Secundaria completo","NS/NR"
1509,48,23,19,62,"Selva","Urbana","Jardín","Loreto","4","Secundaria completo","Superior universitario completo","No"
3168,76,22,21,65,"Costa","Urbana","Jardín","Lima Met.","4","Superior técnico completo","Secundaria completo","No"
2342,60,23,26,63,"Costa","Urbana","Jardín","Piura","3","Secundaria incompleto","Secundaria incompleto","NS/NR"
3411,73,26,16,65,"Costa","Urbana","Jardín","Lima Met.","4","Secundaria completo","Secundaria completo","NS/NR"
881,71,32,28,62,"Selva","Rural","Jardín","Loreto","4","Primaria completo","Primaria incompleto","Sí"
390,82,23,22,63,"Costa","Urbana","Jardín","Piura","3","Secundaria completo","Secundaria completo","NS/NR"
2405,102,30,30,63,"Costa","Urbana","Jardín","Piura","3","Secundaria completo","Secundaria incompleto","No"
1963,87,18,26,63,"Costa","Urbana","Cuna-Jardín","Piura","4","Superior técnico incompleto","Secundaria completo","No"
331,98,27,28,63,"Costa","Urbana","Jardín","Piura","3","Secundaria completo","Secundaria completo","NS/NR"
2606,74,31,21,63,"Costa","Urbana","Cuna-Jardín","Piura","4","Superior técnico completo","Superior universitario completo","No"
