"Código","Departamento","Escala_Cog.","Escala_Mot.","Escala_Soc","Escala_Dis."
2117,"Loreto",59,23,53,24
534,"Cusco",49,14,49,19
540,"Cusco",71,23,56,23
287,"Cusco",66,23,51,28
288,"Cusco",83,25,53,28
1095,"Cusco",57,20,52,15
217,"Piura",91,27,56,26
218,"Piura",69,21,32,17
1094,"Cusco",55,18,45,13
1101,"Cusco",55,18,58,19
1104,"Cusco",51,18,46,16
1098,"Cusco",55,18,51,13
1096,"Cusco",71,19,56,18
1092,"Cusco",65,21,44,15
103,"Cusco",48,16,47,16
3367,"Lima Metropolitana",145,36,43,31
3369,"Lima Metropolitana",130,33,66,32
1099,"Cusco",52,18,55,15
108,"Cusco",40,14,38,13
1103,"Cusco",48,18,41,11
104,"Cusco",60,13,58,15
1093,"Cusco",56,15,52,16
106,"Cusco",45,13,51,13
1380,"Cusco",98,27,62,25
1381,"Cusco",98,26,60,25
3171,"Lima Metropolitana",94,28,53,21
3173,"Lima Metropolitana",111,31,56,24
1091,"Cusco",52,17,42,13
3423,"Lima Metropolitana",123,32,57,28
3427,"Lima Metropolitana",87,27,54,25
1396,"Cusco",78,19,55,21
1447,"Cusco",67,17,50,19
837,"Piura",56,25,61,26
2242,"Piura",88,24,67,16
910,"Cusco",42,14,57,15
911,"Cusco",39,17,52,19
800,"Cusco",70,21,57,21
801,"Cusco",75,22,58,21
2198,"Piura",117,35,75,34
2199,"Piura",87,30,72,34
3374,"Lima Metropolitana",75,24,53,21
2282,"Piura",97,22,62,28
2283,"Piura",116,27,58,30
17,"Piura",53,21,49,23
167,"Piura",80,19,48,20
168,"Piura",79,21,53,26
1057,"Cusco",90,22,53,23
1058,"Cusco",70,21,49,20
1842,"Loreto",117,32,73,28
1066,"Piura",58,16,53,22
1841,"Loreto",116,31,71,28
1837,"Loreto",104,32,70,29
2188,"Piura",63,21,55,23
150,"Piura",83,22,53,23
153,"Piura",82,21,54,26
152,"Piura",80,21,52,21
148,"Piura",61,20,55,20
151,"Piura",71,17,51,18
3162,"Lima Metropolitana",119,34,65,32
149,"Piura",95,29,56,26
847,"Loreto",103,33,78,31
3458,"Lima Metropolitana",116,34,69,31
1282,"Piura",67,22,62,23
3204,"Lima Metropolitana",75,33,71,23
1436,"Cusco",62,21,49,19
2572,"Loreto",124,29,57,28
3401,"Lima Metropolitana",68,26,54,17
891,"Cusco",78,27,57,24
2353,"Piura",98,35,76,31
1435,"Cusco",67,24,51,23
1437,"Cusco",71,14,50,22
1697,"Cusco",90,18,47,19
1438,"Cusco",67,25,41,19
1991,"Cusco",83,22,48,21
1992,"Cusco",96,24,53,24
1993,"Cusco",92,22,54,21
1987,"Cusco",71,26,57,26
1986,"Cusco",69,23,53,23
2121,"Loreto",74,24,50,23
1974,"Loreto",133,36,72,23
2119,"Loreto",77,27,54,26
1972,"Loreto",129,36,63,27
2122,"Loreto",59,22,49,19
2111,"Loreto",55,22,52,23
2113,"Loreto",69,23,55,24
2092,"Loreto",92,32,62,30
2112,"Loreto",72,25,58,23
1929,"Cusco",86,22,57,21
1970,"Loreto",78,27,63,25
1009,"Cusco",62,19,48,17
1003,"Cusco",59,19,48,17
1006,"Cusco",51,17,46,18
999,"Cusco",65,19,46,21
1004,"Cusco",68,18,46,18
1005,"Cusco",68,22,49,19
1010,"Cusco",69,22,52,21
1000,"Cusco",54,17,43,14
1012,"Cusco",59,18,48,18
1928,"Cusco",84,18,57,21
1931,"Cusco",97,28,54,28
1933,"Cusco",88,26,65,16
2079,"Cusco",65,21,55,20
1935,"Cusco",92,22,63,25
2075,"Cusco",72,23,59,22
884,"Piura",106,31,68,32
1290,"Piura",49,22,58,19
1088,"Piura",132,36,72,28
781,"Loreto",92,22,51,24
2142,"Cusco",76,27,57,21
1849,"Loreto",134,36,76,32
1524,"Loreto",65,27,62,20
560,"Cusco",67,24,48,21
578,"Cusco",74,21,42,23
564,"Cusco",103,28,69,28
577,"Cusco",72,21,49,23
575,"Cusco",61,21,35,18
558,"Cusco",53,21,47,16
574,"Cusco",76,21,51,21
565,"Cusco",96,24,58,27
1391,"Cusco",96,31,51,24
3441,"Lima Metropolitana",80,28,60,17
3165,"Lima Metropolitana",81,30,64,25
3499,"Lima Metropolitana",105,36,44,24
3170,"Lima Metropolitana",69,22,57,22
1975,"Loreto",134,35,60,30
1973,"Loreto",122,33,64,26
1071,"Loreto",150,35,68,34
2009,"Loreto",81,27,61,21
3431,"Lima Metropolitana",113,30,63,26
3226,"Lima Metropolitana",109,30,45,19
1176,"Loreto",64,22,53,21
3207,"Lima Metropolitana",100,32,65,25
3234,"Lima Metropolitana",81,25,55,22
3472,"Lima Metropolitana",108,25,59,24
3495,"Lima Metropolitana",76,22,53,21
3286,"Lima Metropolitana",65,15,39,17
3395,"Lima Metropolitana",143,24,72,31
2008,"Loreto",78,27,59,21
2091,"Loreto",85,34,61,29
2107,"Loreto",73,30,71,24
2093,"Loreto",105,34,65,30
2101,"Loreto",69,29,41,18
2089,"Loreto",89,31,63,29
2094,"Loreto",79,29,58,29
2096,"Loreto",93,34,61,31
2106,"Loreto",58,22,57,18
1990,"Loreto",79,25,61,21
349,"Piura",68,15,53,20
1167,"Piura",69,20,57,23
285,"Cusco",62,23,54,23
541,"Cusco",69,22,56,20
553,"Cusco",129,36,67,34
546,"Cusco",97,30,58,31
543,"Cusco",70,22,57,21
548,"Cusco",106,32,58,31
538,"Cusco",57,19,53,19
547,"Cusco",44,10,32,16
709,"Loreto",111,30,77,32
1404,"Loreto",58,25,61,27
53,"Cusco",61,23,54,26
1971,"Loreto",82,27,66,25
2081,"Loreto",100,27,62,29
1440,"Cusco",63,23,50,19
990,"Piura",78,27,71,29
2617,"Piura",106,34,73,31
2360,"Piura",125,32,77,34
1805,"Cusco",103,25,63,25
1354,"Cusco",73,21,55,19
2398,"Piura",124,34,66,33
1394,"Cusco",92,29,60,24
3081,"Lima Metropolitana",122,33,62,30
1002,"Cusco",56,17,48,18
81,"Cusco",112,36,71,25
1209,"Cusco",99,25,62,25
1113,"Cusco",46,15,46,18
356,"Cusco",79,20,49,21
2805,"Lima Metropolitana",126,32,66,29
2594,"Piura",41,23,41,12
1389,"Cusco",110,27,61,28
2356,"Piura",71,26,55,23
771,"Loreto",93,19,56,22
264,"Piura",101,26,62,29
826,"Cusco",80,26,56,21
954,"Piura",86,27,64,30
784,"Loreto",82,23,47,24
1117,"Cusco",65,17,50,21
1135,"Cusco",151,33,77,35
2010,"Loreto",74,25,54,20
2337,"Piura",101,34,75,27
289,"Cusco",72,24,54,27
32,"Cusco",116,27,61,28
704,"Loreto",141,33,58,32
1867,"Piura",106,34,72,29
1309,"Loreto",124,29,67,33
214,"Piura",88,26,41,23
1313,"Loreto",61,20,59,29
772,"Loreto",95,23,56,24
1185,"Loreto",92,29,57,25
1531,"Loreto",121,35,69,23
927,"Cusco",92,19,64,24
1138,"Cusco",124,33,76,29
2512,"Piura",144,33,67,24
1018,"Cusco",55,18,49,20
960,"Piura",102,31,71,28
226,"Piura",74,23,39,22
2563,"Piura",63,20,42,19
571,"Cusco",92,27,62,23
3406,"Lima Metropolitana",78,29,58,17
2514,"Piura",108,30,68,24
