Código,Departamento,Escala_Cog.,Escala_Mot.,Escala_Dis.
447,Piura,70,24,25
1153,Piura,54,24,18
1724,Piura,60,22,22
199,Cusco,47,14,18
2874,Lima Metropolitana,85,24,24
2310,Piura,75,36,31
1908,Cusco,67,30,25
2429,Piura,88,29,28
1662,Cusco,92,35,36
1958,Loreto,126,48,36
645,Cusco,63,22,23
3069,Lima Metropolitana,89,23,28
2432,Piura,67,24,21
1598,Loreto,88,35,30
1727,Piura,67,29,22
2427,Piura,110,35,34
1160,Piura,43,14,12
1347,Loreto,45,20,22
2126,Piura,45,20,20
2490,Piura,59,28,24
486,Piura,36,11,29
1941,Loreto,57,17,24
2024,Loreto,81,38,29
2056,Piura,78,31,27
2313,Piura,69,32,27
1950,Loreto,35,19,19
3096,Lima Metropolitana,85,41,27
2298,Piura,113,35,36
1897,Piura,43,21,21
2473,Piura,66,29,22
1265,Piura,58,26,22
1922,Piura,42,21,18
765,Cusco,62,20,28
484,Piura,76,26,29
3219,Lima Metropolitana,112,40,36
247,Loreto,69,18,24
1143,Piura,65,24,18
2544,Piura,71,27,20
428,Loreto,55,14,24
1562,Loreto,63,24,24
213,Loreto,58,19,21
277,Cusco,52,22,25
1798,Cusco,64,28,23
665,Loreto,78,27,31
449,Piura,66,27,26
631,Piura,54,23,25
485,Piura,74,31,27
662,Loreto,90,34,30
201,Cusco,123,36,29
525,Cusco,59,24,20
586,Cusco,56,30,20
1679,Cusco,57,25,26
655,Loreto,67,31,29
763,Cusco,56,20,22
1739,Piura,61,26,24
897,Cusco,47,16,11
1735,Piura,55,27,22
242,Loreto,76,28,24
146,Cusco,61,21,32
3025,Lima Metropolitana,64,27,25
3139,Lima Metropolitana,100,33,34
1957,Loreto,102,36,32
1578,Loreto,68,18,21
807,Loreto,40,25,23
452,Piura,60,24,22
896,Cusco,46,16,12
147,Cusco,79,23,34
177,Cusco,47,26,20
2478,Piura,47,15,21
192,Cusco,61,18,25
2384,Piura,60,26,24
1645,Piura,70,29,36
1273,Cusco,68,23,19
1274,Cusco,65,22,21
448,Piura,34,23,14
2467,Piura,80,29,24
1574,Loreto,57,20,23
2049,Piura,77,28,23
111,Piura,27,21,21
1658,Cusco,72,28,36
2125,Piura,48,20,20
1646,Piura,82,22,35
2851,Lima Metropolitana,116,31,31
3014,Lima Metropolitana,66,14,24
2048,Piura,82,35,30
3179,Lima Metropolitana,107,33,36
1821,Loreto,74,28,32
