Código,Escala_Cog.,Escala_Mot.,Escala_Dis.,Edad_Mes,Región,Modalidad,Departamento,Quintil,Inst_Mat.,Inst_Mat_N
2991,152,36,31,76,Costa,Jardín,Lima Met.,5,Superior universitario completo,10
3185,129,28,36,50,Costa,Cuna-Jardín,Lima Met.,5,Superior universitario completo,10
3208,93,30,24,58,Costa,Jardín,Lima Met.,4,Secundaria completo,6
3209,120,31,25,64,Costa,Jardín,Lima Met.,4,Superior universitario completo,10
3241,103,30,26,76,Costa,Jardín,Lima Met.,4,Secundaria completo,6
3298,145,31,28,66,Costa,Jardín,Lima Met.,4,Secundaria completo,6
3306,96,24,24,66,Costa,Jardín,Lima Met.,4,Secundaria completo,6
3308,132,29,34,76,Costa,Jardín,Lima Met.,4,Secundaria completo,6
3336,156,35,30,75,Costa,Jardín,Lima Met.,4,Secundaria completo,6
3343,79,15,22,66,Costa,Jardín,Lima Met.,4,Secundaria completo,6
3388,102,32,33,57,Costa,Jardín,Lima Met.,4,Secundaria completo,6
3409,109,30,24,74,Costa,Jardín,Lima Met.,4,Secundaria completo,6
3436,125,32,29,62,Costa,Jardín,Lima Met.,4,Superior técnico completo,8
3454,92,30,24,52,Costa,Jardín,Lima Met.,4,Secundaria completo,6
3461,73,29,24,61,Costa,Jardín,Lima Met.,4,Secundaria completo,6
3519,143,32,30,60,Costa,Jardín,Lima Met.,5,Secundaria completo,6
2620,87,24,24,66,Costa,Cuna-Jardín,Lima Met.,4,"Posgrado (maestría, doctorado)",11
2627,134,33,33,59,Costa,Cuna-Jardín,Lima Met.,5,"Posgrado (maestría, doctorado)",11
2630,126,30,33,61,Costa,Cuna-Jardín,Lima Met.,5,Superior universitario completo,10
2633,130,32,31,58,Costa,Cuna-Jardín,Lima Met.,5,Superior universitario completo,10
2637,113,28,26,54,Costa,Cuna-Jardín,Lima Met.,5,Superior universitario completo,10
2640,129,30,34,58,Costa,Cuna-Jardín,Lima Met.,5,Superior universitario completo,10
2645,129,28,30,55,Costa,Cuna-Jardín,Lima Met.,5,"Posgrado (maestría, doctorado)",11
2651,112,27,25,58,Costa,Cuna-Jardín,Lima Met.,5,Superior universitario completo,10
2652,107,30,26,61,Costa,Cuna-Jardín,Lima Met.,5,Superior universitario completo,10
2655,121,27,31,60,Costa,Cuna-Jardín,Lima Met.,5,Superior universitario completo,10
2669,120,29,31,64,Costa,Cuna-Jardín,Lima Met.,5,Superior universitario completo,10
2670,105,26,29,56,Costa,Cuna-Jardín,Lima Met.,5,"Posgrado (maestría, doctorado)",11
2673,149,35,32,76,Costa,Cuna-Jardín,Lima Met.,5,Superior universitario completo,10
2685,101,29,26,63,Costa,Cuna-Jardín,Lima Met.,5,Superior universitario completo,10
2686,117,29,31,58,Costa,Cuna-Jardín,Lima Met.,5,Superior universitario completo,10
2687,113,23,28,54,Costa,Cuna-Jardín,Lima Met.,5,"Posgrado (maestría, doctorado)",11
2688,108,31,32,55,Costa,Cuna-Jardín,Lima Met.,5,Superior universitario completo,10
2689,121,28,29,62,Costa,Cuna-Jardín,Lima Met.,5,Superior universitario completo,10
2690,139,25,33,62,Costa,Cuna-Jardín,Lima Met.,5,Superior universitario completo,10
