"Codigo","Fechin","CSUM","MSUM","DSUM"
260,"2024-06-17",95,26,31
2139,"2024-04-29",75,20,18
286,"2024-04-29",63,25,25
1514,"2024-05-20",120,34,29
3225,"2024-08-12",108,30,23
723,"2024-05-20",102,32,26
1883,"2024-06-17",112,34,28
3104,"2024-08-12",59,20,19
2345,"2024-06-17",102,35,31
717,"2024-05-20",99,35,28
2361,"2024-06-17",143,32,35
378,"2024-06-17",147,26,28
2525,"2024-06-17",67,27,21
3131,"2024-08-12",82,30,25
1305,"2024-05-20",65,20,31
261,"2024-06-17",102,30,31
710,"2024-05-20",129,33,34
1377,"2024-06-17",112,26,30
816,"2024-04-29",106,31,24
1372,"2024-06-17",87,27,28
3368,"2024-08-12",80,27,25
612,"2024-04-29",78,25,21
1752,"2024-06-17",136,36,31
2118,"2024-05-20",77,26,23
1451,"2024-04-29",52,23,21
981,"2024-06-17",98,27,29
3264,"2024-08-12",65,21,21
1229,"2024-04-29",72,27,25
11,"2024-06-17",100,24,26
1523,"2024-05-20",57,25,20
3370,"2024-08-12",141,36,31
714,"2024-05-20",121,31,33
715,"2024-05-20",126,34,35
869,"2024-06-17",85,30,30
566,"2024-04-29",88,26,24
1913,"2024-05-20",111,30,25
373,"2024-06-17",153,25,34
638,"2024-06-17",81,22,22
2338,"2024-06-17",67,34,28
408,"2024-06-17",88,31,21
1886,"2024-06-17",101,33,27
294,"2024-04-29",69,24,27
1959,"2024-05-20",154,35,28
3109,"2024-08-12",72,18,19
708,"2024-05-20",122,32,34
1962,"2024-05-20",130,34,32
2344,"2024-06-17",107,35,31
812,"2024-04-29",97,31,26
1456,"2024-04-29",65,23,17
2597,"2024-06-17",34,26,8
1304,"2024-05-20",85,25,32
296,"2024-04-29",81,24,28
829,"2024-04-29",62,30,24
387,"2024-06-17",107,25,26
362,"2024-04-29",78,18,19
1862,"2024-05-20",112,29,31
1519,"2024-05-20",67,29,21
1376,"2024-06-17",85,23,30
2409,"2024-06-17",111,29,29
991,"2024-06-17",71,26,24
3375,"2024-08-12",104,26,27
79,"2024-04-29",112,33,29
1809,"2024-04-29",106,23,25
272,"2024-06-17",44,17,16
3498,"2024-08-12",97,26,23
1857,"2024-05-20",116,33,29
3358,"2024-08-12",59,18,20
1882,"2024-06-17",114,34,27
2362,"2024-06-17",106,32,34
3190,"2024-08-12",124,31,31
3112,"2024-08-12",140,35,34
1510,"2024-05-20",105,30,27
811,"2024-04-29",82,28,23
3220,"2024-08-12",92,25,23
1455,"2024-04-29",69,25,19
382,"2024-06-17",153,25,28
1530,"2024-05-20",73,30,27
1366,"2024-06-17",82,26,21
3341,"2024-08-12",137,35,26
830,"2024-04-29",111,21,23
3222,"2024-08-12",112,30,30
1250,"2024-05-20",110,31,28
1853,"2024-05-20",156,36,33
1223,"2024-04-29",71,26,22
2516,"2024-06-17",81,34,24
2607,"2024-06-17",38,24,9
1121,"2024-04-29",41,11,14
1395,"2024-04-29",85,27,24
3350,"2024-08-12",104,28,25
424,"2024-06-17",94,33,27
926,"2024-04-29",96,25,29
1453,"2024-04-29",60,24,19
2799,"2024-08-12",103,29,27
1042,"2024-06-17",83,26,22
3478,"2024-08-12",106,30,23
1226,"2024-04-29",62,26,21
988,"2024-06-17",94,27,30
3169,"2024-08-12",105,29,22
2248,"2024-06-17",59,21,17
1528,"2024-05-20",47,32,20
2612,"2024-06-17",68,22,17
3183,"2024-08-12",148,35,31
3335,"2024-08-12",129,33,27
402,"2024-06-17",56,23,21
374,"2024-06-17",153,26,30
2515,"2024-06-17",115,36,24
2251,"2024-06-17",97,31,31
3180,"2024-08-12",156,36,30
2258,"2024-06-17",106,31,30
1374,"2024-06-17",123,33,32
1748,"2024-06-17",134,35,30
1219,"2024-04-29",104,29,26
1868,"2024-06-17",136,36,30
3325,"2024-08-12",127,36,27
1252,"2024-05-20",96,30,21
237,"2024-06-17",58,15,18
2558,"2024-06-17",86,30,22
3415,"2024-08-12",118,31,26
1029,"2024-04-29",89,25,23
3293,"2024-08-12",101,27,23
1025,"2024-04-29",83,25,25
1877,"2024-06-17",97,34,26
557,"2024-04-29",72,17,17
1189,"2024-04-29",89,30,17
1114,"2024-04-29",44,14,12
1808,"2024-04-29",98,25,25
1112,"2024-04-29",46,10,18
68,"2024-04-29",80,29,22
813,"2024-04-29",80,28,26
3159,"2024-08-12",89,30,30
559,"2024-04-29",77,25,29
89,"2024-04-29",130,32,26
868,"2024-06-17",81,32,32
3362,"2024-08-12",101,29,26
1028,"2024-04-29",90,25,20
425,"2024-06-17",86,31,22
1036,"2024-04-29",94,24,23
1319,"2024-05-20",64,20,24
2598,"2024-06-17",76,29,28
2803,"2024-08-12",131,32,30
2610,"2024-06-17",52,29,14
1118,"2024-04-29",48,17,16
998,"2024-04-29",75,20,21
2807,"2024-08-12",101,31,24
301,"2024-04-29",65,21,27
1087,"2024-06-17",131,36,28
1358,"2024-04-29",74,19,21
726,"2024-05-20",114,32,27
80,"2024-04-29",76,22,18
699,"2024-05-20",93,30,24
561,"2024-04-29",90,25,22
31,"2024-06-17",105,27,27
392,"2024-06-17",96,27,23
25,"2024-06-17",110,28,27
1442,"2024-04-29",61,18,21
1369,"2024-06-17",102,33,28
703,"2024-05-20",142,34,36
3229,"2024-08-12",63,13,19
3417,"2024-08-12",107,28,27
1791,"2024-05-20",137,36,29
568,"2024-04-29",85,25,21
903,"2024-04-29",108,26,23
1370,"2024-06-17",109,32,30
