"Código","Cuatrimestre","Escala_Cog.","Escala_Mot.","Escala_Soc","Escala_Dis."
287,"2 (Abr-Jun)",66,23,51,28
288,"4 (Oct-Dic)",83,25,53,28
1095,"2 (Abr-Jun)",57,20,52,15
217,"2 (Abr-Jun)",91,27,56,26
218,"3 (Jul-Sep)",69,21,32,17
1094,"2 (Abr-Jun)",55,18,45,13
1101,"2 (Abr-Jun)",55,18,58,19
1104,"2 (Abr-Jun)",51,18,46,16
1098,"3 (Jul-Sep)",55,18,51,13
1096,"3 (Jul-Sep)",71,19,56,18
1092,"3 (Jul-Sep)",65,21,44,15
103,"3 (Jul-Sep)",48,16,47,16
3367,"3 (Jul-Sep)",145,36,43,31
3369,"3 (Jul-Sep)",130,33,66,32
1099,"3 (Jul-Sep)",52,18,55,15
108,"3 (Jul-Sep)",40,14,38,13
1103,"3 (Jul-Sep)",48,18,41,11
104,"4 (Oct-Dic)",60,13,58,15
1093,"4 (Oct-Dic)",56,15,52,16
106,"4 (Oct-Dic)",45,13,51,13
1380,"1 (Ene-Mar)",98,27,62,25
1381,"1 (Ene-Mar)",98,26,60,25
3171,"3 (Jul-Sep)",94,28,53,21
3173,"1 (Ene-Mar)",111,31,56,24
1091,"1 (Ene-Mar)",52,17,42,13
3423,"1 (Ene-Mar)",123,32,57,28
3427,"1 (Ene-Mar)",87,27,54,25
1396,"1 (Ene-Mar)",78,19,55,21
1447,"4 (Oct-Dic)",67,17,50,19
837,"1 (Ene-Mar)",56,25,61,26
2242,"2 (Abr-Jun)",88,24,67,16
910,"2 (Abr-Jun)",42,14,57,15
911,"3 (Jul-Sep)",39,17,52,19
800,"3 (Jul-Sep)",70,21,57,21
801,"4 (Oct-Dic)",75,22,58,21
2198,"3 (Jul-Sep)",117,35,75,34
2199,"3 (Jul-Sep)",87,30,72,34
3374,"3 (Jul-Sep)",75,24,53,21
2282,"3 (Jul-Sep)",97,22,62,28
2283,"2 (Abr-Jun)",116,27,58,30
17,"4 (Oct-Dic)",53,21,49,23
167,"4 (Oct-Dic)",80,19,48,20
168,"2 (Abr-Jun)",79,21,53,26
1057,"4 (Oct-Dic)",90,22,53,23
1058,"4 (Oct-Dic)",70,21,49,20
1842,"4 (Oct-Dic)",117,32,73,28
1066,"4 (Oct-Dic)",58,16,53,22
1841,"1 (Ene-Mar)",116,31,71,28
1837,"1 (Ene-Mar)",104,32,70,29
2188,"4 (Oct-Dic)",63,21,55,23
150,"2 (Abr-Jun)",83,22,53,23
153,"2 (Abr-Jun)",82,21,54,26
152,"3 (Jul-Sep)",80,21,52,21
148,"1 (Ene-Mar)",61,20,55,20
151,"1 (Ene-Mar)",71,17,51,18
3162,"2 (Abr-Jun)",119,34,65,32
149,"1 (Ene-Mar)",95,29,56,26
847,"2 (Abr-Jun)",103,33,78,31
3458,"2 (Abr-Jun)",116,34,69,31
1282,"2 (Abr-Jun)",67,22,62,23
3204,"4 (Oct-Dic)",75,33,71,23
1436,"3 (Jul-Sep)",62,21,49,19
2572,"2 (Abr-Jun)",124,29,57,28
3401,"4 (Oct-Dic)",68,26,54,17
891,"2 (Abr-Jun)",78,27,57,24
2353,"3 (Jul-Sep)",98,35,76,31
1435,"3 (Jul-Sep)",67,24,51,23
1437,"4 (Oct-Dic)",71,14,50,22
1697,"4 (Oct-Dic)",90,18,47,19
1438,"1 (Ene-Mar)",67,25,41,19
1991,"2 (Abr-Jun)",83,22,48,21
1992,"2 (Abr-Jun)",96,24,53,24
1993,"1 (Ene-Mar)",92,22,54,21
1987,"3 (Jul-Sep)",71,26,57,26
1986,"3 (Jul-Sep)",69,23,53,23
2121,"1 (Ene-Mar)",74,24,50,23
1974,"4 (Oct-Dic)",133,36,72,23
2119,"4 (Oct-Dic)",77,27,54,26
1972,"1 (Ene-Mar)",129,36,63,27
2122,"1 (Ene-Mar)",59,22,49,19
2111,"1 (Ene-Mar)",55,22,52,23
2113,"1 (Ene-Mar)",69,23,55,24
2092,"3 (Jul-Sep)",92,32,62,30
2112,"1 (Ene-Mar)",72,25,58,23
1929,"1 (Ene-Mar)",86,22,57,21
1970,"2 (Abr-Jun)",78,27,63,25
1009,"2 (Abr-Jun)",62,19,48,17
1003,"2 (Abr-Jun)",59,19,48,17
1006,"3 (Jul-Sep)",51,17,46,18
999,"3 (Jul-Sep)",65,19,46,21
1004,"2 (Abr-Jun)",68,18,46,18
1005,"3 (Jul-Sep)",68,22,49,19
1010,"4 (Oct-Dic)",69,22,52,21
1000,"4 (Oct-Dic)",54,17,43,14
1012,"1 (Ene-Mar)",59,18,48,18
1928,"2 (Abr-Jun)",84,18,57,21
1931,"3 (Jul-Sep)",97,28,54,28
1933,"3 (Jul-Sep)",88,26,65,16
2079,"3 (Jul-Sep)",65,21,55,20
1935,"4 (Oct-Dic)",92,22,63,25
2075,"1 (Ene-Mar)",72,23,59,22
884,"3 (Jul-Sep)",106,31,68,32
1290,"4 (Oct-Dic)",49,22,58,19
1088,"2 (Abr-Jun)",132,36,72,28
781,"3 (Jul-Sep)",92,22,51,24
2142,"1 (Ene-Mar)",76,27,57,21
1849,"2 (Abr-Jun)",134,36,76,32
1524,"3 (Jul-Sep)",65,27,62,20
560,"3 (Jul-Sep)",67,24,48,21
578,"3 (Jul-Sep)",74,21,42,23
564,"3 (Jul-Sep)",103,28,69,28
577,"4 (Oct-Dic)",72,21,49,23
575,"4 (Oct-Dic)",61,21,35,18
558,"1 (Ene-Mar)",53,21,47,16
574,"1 (Ene-Mar)",76,21,51,21
