"Código","Región","Escala_Cog.","Escala_Mot.","Escala_Dis."
203,"Sierra",111,44,34
2383,"Costa",72,29,26
3503,"Costa",111,39,28
3287,"Costa",85,39,27
2440,"Sierra",103,32,34
1953,"Selva",64,25,24
3262,"Costa",82,35,30
2307,"Costa",65,37,29
3121,"Costa",102,33,33
2150,"Costa",50,24,21
125,"Selva",69,24,17
126,"Selva",47,19,17
1686,"Selva",81,32,33
1639,"Costa",94,33,34
198,"Sierra",92,40,32
173,"Sierra",44,23,23
2474,"Costa",82,33,26
140,"Sierra",89,29,36
2898,"Costa",89,29,26
442,"Costa",66,29,22
1643,"Costa",102,37,32
1255,"Sierra",88,28,26
3193,"Costa",84,38,29
806,"Selva",41,23,24
2486,"Costa",74,33,25
673,"Selva",74,32,32
1270,"Sierra",67,23,22
2543,"Sierra",82,30,23
1206,"Selva",52,19,26
2994,"Costa",97,36,29
1741,"Costa",64,26,23
439,"Costa",56,23,18
2004,"Sierra",85,32,25
119,"Selva",78,32,21
206,"Sierra",125,40,35
45,"Costa",37,25,24
1680,"Selva",66,23,35
124,"Selva",77,33,26
1653,"Selva",117,42,33
194,"Sierra",54,16,19
1508,"Selva",72,25,18
2297,"Costa",96,35,33
2177,"Costa",50,24,22
1647,"Costa",107,28,36
494,"Sierra",80,24,29
890,"Sierra",59,25,22
644,"Sierra",59,21,25
313,"Costa",59,21,19
1721,"Sierra",76,30,27
808,"Selva",59,27,25
514,"Sierra",55,17,25
804,"Selva",46,31,29
130,"Selva",74,30,28
2029,"Selva",75,34,27
1834,"Costa",58,28,21
1729,"Costa",70,32,23
2044,"Selva",76,26,24
1994,"Sierra",73,25,26
2311,"Costa",87,37,30
659,"Selva",79,32,30
212,"Selva",82,26,24
517,"Sierra",57,22,28
2496,"Costa",85,29,24
632,"Costa",69,27,30
1046,"Selva",86,35,28
459,"Costa",83,28,27
2002,"Sierra",89,29,28
1717,"Sierra",71,29,23
2439,"Sierra",113,41,29
1920,"Costa",52,26,20
3017,"Costa",101,32,26
2134,"Sierra",38,14,13
211,"Selva",64,24,19
44,"Costa",30,24,23
2428,"Sierra",89,26,28
2426,"Sierra",74,23,29
2022,"Selva",83,37,29
1500,"Selva",75,25,29
1272,"Sierra",72,26,25
137,"Sierra",61,19,27
1142,"Costa",60,24,23
127,"Selva",58,25,22
2493,"Costa",48,21,18
1340,"Selva",42,18,23
1910,"Selva",69,30,32
2417,"Sierra",53,18,13
1339,"Selva",47,16,24
3134,"Costa",108,31,36
1893,"Costa",35,19,17
1903,"Selva",68,32,25
1592,"Selva",95,35,26
2012,"Selva",75,32,31
174,"Sierra",51,16,22
3433,"Costa",105,42,36
3137,"Costa",113,35,35
1145,"Sierra",61,24,14
1998,"Sierra",84,28,26
2582,"Selva",64,28,25
2497,"Costa",83,27,24
3028,"Costa",84,28,28
1266,"Sierra",71,31,27
2999,"Costa",48,25,20
2872,"Costa",42,22,20
2470,"Costa",57,26,22
120,"Selva",51,18,18
453,"Costa",50,25,20
185,"Sierra",128,47,25
1609,"Selva",67,27,26
46,"Costa",41,25,22
3029,"Costa",95,38,26
445,"Costa",56,24,20
3117,"Costa",122,40,36
491,"Sierra",120,37,31
2575,"Selva",86,22,21
2013,"Selva",72,36,27
488,"Sierra",46,24,29
2064,"Selva",78,28,24
582,"Sierra",44,23,18
656,"Selva",63,24,31
1346,"Selva",41,16,20
1146,"Sierra",55,24,13
132,"Selva",46,19,17
1590,"Selva",87,37,28
628,"Costa",54,15,25
2546,"Sierra",89,32,23
2058,"Costa",94,41,33
510,"Sierra",47,17,26
2228,"Sierra",65,21,26
660,"Selva",76,31,29
666,"Selva",86,32,28
1833,"Costa",61,29,25
2995,"Costa",112,33,30
1564,"Sierra",64,24,18
2215,"Sierra",95,23,23
1595,"Selva",88,37,30
2492,"Costa",59,27,22
1065,"Costa",73,31,26
1799,"Selva",68,31,24
461,"Costa",62,24,21
1732,"Costa",54,17,22
497,"Sierra",108,37,31
1654,"Selva",51,19,27
75,"Costa",43,30,22
664,"Selva",77,29,31
186,"Sierra",98,42,33
1596,"Selva",84,36,29
1162,"Sierra",63,24,18
113,"Costa",29,17,20
1150,"Sierra",66,24,17
1332,"Selva",58,21,24
2296,"Costa",90,40,33
1823,"Selva",51,26,27
767,"Sierra",57,17,24
1597,"Selva",70,31,29
2549,"Sierra",73,27,21
2063,"Selva",74,28,22
3237,"Costa",91,39,27
2491,"Costa",74,32,23
3132,"Costa",78,33,30
3119,"Costa",91,26,33
2465,"Sierra",88,18,24
1942,"Selva",57,27,23
1563,"Sierra",53,24,17
3027,"Costa",81,35,26
1577,"Selva",62,21,22
1506,"Selva",66,22,18
1999,"Sierra",84,30,26
3118,"Costa",99,32,36
48,"Costa",38,14,24
2149,"Costa",51,24,23
1582,"Selva",70,25,25
3146,"Costa",83,26,32
460,"Costa",83,29,27
1725,"Costa",52,19,20
1726,"Costa",52,18,20
1573,"Selva",56,17,22
516,"Sierra",49,22,27
2566,"Selva",94,27,33
620,"Costa",55,17,17
2020,"Selva",65,36,28
2869,"Costa",104,33,27
2845,"Costa",113,37,31
1895,"Costa",67,28,21
2487,"Costa",59,27,23
447,"Costa",70,24,25
1153,"Sierra",54,24,18
1724,"Costa",60,22,22
199,"Sierra",47,14,18
2874,"Costa",85,24,24
2310,"Costa",75,36,31
1908,"Selva",67,30,25
2429,"Sierra",88,29,28
1662,"Selva",92,35,36
1958,"Selva",126,48,36
645,"Sierra",63,22,23
3069,"Costa",89,23,28
2432,"Sierra",67,24,21
1598,"Selva",88,35,30
1727,"Costa",67,29,22
2427,"Sierra",110,35,34
1160,"Sierra",43,14,12
1347,"Selva",45,20,22
2126,"Costa",45,20,20
2490,"Costa",59,28,24
486,"Sierra",36,11,29
1941,"Selva",57,17,24
2024,"Selva",81,38,29
2056,"Costa",78,31,27
2313,"Costa",69,32,27
1950,"Selva",35,19,19
3096,"Costa",85,41,27
2298,"Costa",113,35,36
1897,"Costa",43,21,21
2473,"Costa",66,29,22
1265,"Sierra",58,26,22
1922,"Costa",42,21,18
765,"Sierra",62,20,28
484,"Sierra",76,26,29
3219,"Costa",112,40,36
247,"Selva",69,18,24
1143,"Sierra",65,24,18
2544,"Sierra",71,27,20
428,"Selva",55,14,24
1562,"Selva",63,24,24
213,"Selva",58,19,21
277,"Sierra",52,22,25
1798,"Selva",64,28,23
665,"Selva",78,27,31
449,"Costa",66,27,26
631,"Costa",54,23,25
485,"Sierra",74,31,27
662,"Selva",90,34,30
201,"Sierra",123,36,29
525,"Sierra",59,24,20
586,"Sierra",56,30,20
1679,"Selva",57,25,26
655,"Selva",67,31,29
763,"Sierra",56,20,22
1739,"Costa",61,26,24
897,"Sierra",47,16,11
1735,"Costa",55,27,22
242,"Selva",76,28,24
146,"Sierra",61,21,32
3025,"Costa",64,27,25
3139,"Costa",100,33,34
1957,"Selva",102,36,32
1578,"Selva",68,18,21
807,"Selva",40,25,23
452,"Costa",60,24,22
896,"Sierra",46,16,12
147,"Sierra",79,23,34
177,"Sierra",47,26,20
2478,"Costa",47,15,21
192,"Sierra",61,18,25
2384,"Costa",60,26,24
1645,"Costa",70,29,36
1273,"Sierra",68,23,19
1274,"Sierra",65,22,21
448,"Costa",34,23,14
2467,"Costa",80,29,24
1574,"Selva",57,20,23
2049,"Costa",77,28,23
111,"Costa",27,21,21
1658,"Selva",72,28,36
2125,"Costa",48,20,20
1646,"Costa",82,22,35
2851,"Costa",116,31,31
3014,"Costa",66,14,24
2048,"Costa",82,35,30
3179,"Costa",107,33,36
1821,"Selva",74,28,32
2061,"Costa",99,37,36
1254,"Sierra",90,24,25
1429,"Sierra",63,23,21
248,"Selva",84,26,24
1336,"Selva",45,16,26
2423,"Sierra",71,22,21
133,"Selva",52,19,23
3038,"Costa",66,29,22
3214,"Costa",108,33,34
2212,"Sierra",89,33,28
3001,"Costa",74,23,24
1141,"Costa",42,19,20
275,"Sierra",64,28,25
2853,"Costa",116,38,32
115,"Selva",56,18,24
1155,"Sierra",63,24,18
895,"Sierra",40,9,14
1271,"Sierra",55,18,18
2019,"Selva",92,37,28
1952,"Selva",54,25,24
2476,"Costa",50,28,23
282,"Sierra",65,26,22
893,"Sierra",34,8,6
2309,"Costa",93,37,32
204,"Sierra",85,31,30
1815,"Selva",74,28,28
1926,"Costa",48,24,20
1997,"Sierra",85,34,28
1267,"Sierra",53,19,18
2213,"Sierra",73,31,24
3018,"Costa",64,27,29
3143,"Costa",97,37,31
888,"Sierra",67,26,25
1431,"Sierra",64,16,19
1331,"Selva",61,20,24
1256,"Sierra",68,30,23
1063,"Costa",53,27,22
2321,"Costa",87,37,35
180,"Sierra",45,26,20
434,"Selva",101,39,29
902,"Sierra",58,22,14
302,"Costa",23,10,6
1801,"Selva",64,31,30
3304,"Costa",97,36,33
145,"Sierra",58,24,30
2422,"Sierra",71,18,17
138,"Sierra",45,22,30
652,"Selva",96,33,29
3149,"Costa",86,33,33
2317,"Costa",44,31,24
2494,"Costa",79,25,23
110,"Costa",34,24,22
2018,"Selva",92,38,27
2498,"Costa",67,22,22
901,"Sierra",74,27,24
183,"Sierra",85,31,25
661,"Selva",70,25,26
1814,"Selva",72,30,28
1790,"Sierra",107,38,31
2483,"Costa",63,28,20
1819,"Selva",50,28,27
2322,"Costa",70,26,30
2152,"Costa",44,23,22
1728,"Costa",57,27,21
205,"Sierra",59,27,23
121,"Selva",59,21,21
1051,"Selva",73,31,29
2210,"Sierra",85,35,28
1736,"Costa",65,28,21
513,"Sierra",48,17,20
2047,"Costa",73,38,23
2855,"Costa",129,40,36
200,"Sierra",97,38,30
1980,"Selva",52,25,24
2032,"Selva",85,28,27
444,"Costa",38,13,14
520,"Sierra",32,16,18
1432,"Sierra",56,23,20
1433,"Sierra",55,19,22
2305,"Costa",101,31,34
2577,"Selva",38,19,12
2324,"Costa",44,32,24
2320,"Costa",111,38,35
278,"Sierra",41,20,15
2542,"Sierra",84,31,22
483,"Sierra",45,17,30
2613,"Sierra",60,21,29
1740,"Costa",56,20,22
2858,"Costa",118,31,33
2076,"Selva",25,14,6
3151,"Costa",84,31,31
1977,"Selva",46,28,23
2031,"Selva",75,27,22
493,"Sierra",72,16,31
1192,"Selva",56,24,21
3447,"Costa",119,40,36
1921,"Costa",51,23,21
2997,"Costa",67,28,26
1984,"Sierra",67,28,21
1685,"Selva",67,32,36
894,"Sierra",63,24,24
2481,"Costa",53,23,23
1683,"Selva",84,34,36
1924,"Costa",46,20,19
3240,"Costa",95,42,30
1269,"Sierra",67,29,23
193,"Sierra",82,44,25
2480,"Costa",39,17,13
1561,"Selva",65,23,22
1172,"Selva",48,29,28
1333,"Selva",37,15,22
592,"Sierra",50,18,18
2425,"Sierra",76,28,22
116,"Selva",58,18,24
1161,"Sierra",62,24,18
3153,"Costa",110,27,36
3501,"Costa",83,25,30
